# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	misc_RNA	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	183	309	+						7154601	ECIAI39_misc_RNA_1	127		
misc_RNA		GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	183	309	+				Thr_leader		7154601	ECIAI39_misc_RNA_1	127		
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	189	254	+					thrL	7150518	ECIAI39_4936	66		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	189	254	+	YP_002406049.1	WP_001386572.1		thr operon leader peptide	thrL	7150518	ECIAI39_4936	66	21	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	335	2797	+					thrA	7152980	ECIAI39_0001	2463		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	335	2797	+	YP_002406050.1	WP_001264707.1		bifunctional aspartokinase I/homoserine dehydrogenase I	thrA	7152980	ECIAI39_0001	2463	820	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2799	3731	+					thrB	7152977	ECIAI39_0002	933		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	2799	3731	+	YP_002406051.1	WP_000241660.1		homoserine kinase	thrB	7152977	ECIAI39_0002	933	310	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	3732	5018	+					thrC	7152978	ECIAI39_0003	1287		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	3732	5018	+	YP_002406052.1	WP_000781061.1		threonine synthase	thrC	7152978	ECIAI39_0003	1287	428	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	5232	5528	+					yaaX	7152979	ECIAI39_0004	297		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	5232	5528	+	YP_002406053.1	WP_000738728.1		hypothetical protein	yaaX	7152979	ECIAI39_0004	297	98	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	5568	6344	-					yaaA	7153196	ECIAI39_0005	777		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	5568	6344	-	YP_002406054.1	WP_000906193.1		hypothetical protein	yaaA	7153196	ECIAI39_0005	777	258	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	6414	7844	-					yaaJ	7153191	ECIAI39_0006	1431		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	6414	7844	-	YP_002406055.1	WP_001112574.1		putative amino acid sodium/proton transporter	yaaJ	7153191	ECIAI39_0006	1431	476	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	8123	9076	+					talB	7153194	ECIAI39_0008	954		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	8123	9076	+	YP_002406056.1	WP_000130187.1		transaldolase B	talB	7153194	ECIAI39_0008	954	317	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	9191	9778	+					mogA	7152939	ECIAI39_0009	588		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	9191	9778	+	YP_002406057.1	WP_012602158.1		molybdenum cofactor biosynthesis protein MogA	mogA	7152939	ECIAI39_0009	588	195	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	9813	10379	-					yaaH	7152110	ECIAI39_0010	567		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	9813	10379	-	YP_002406058.1	WP_000528538.1		hypothetical protein	yaaH	7152110	ECIAI39_0010	567	188	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	10528	11241	-					htpY	7153192	ECIAI39_0011	714		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	10528	11241	-	YP_002406059.1	WP_001102376.1		hypothetical protein	htpY	7153192	ECIAI39_0011	714	237	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	11267	11671	-					yaaI	7151688	ECIAI39_0012	405		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	11267	11671	-	YP_002406060.1	WP_000843577.1		hypothetical protein	yaaI	7151688	ECIAI39_0012	405	134	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	12047	13963	+					dnaK	7153193	ECIAI39_0013	1917		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	12047	13963	+	YP_002406061.1	WP_000516135.1		molecular chaperone DnaK	dnaK	7153193	ECIAI39_0013	1917	638	
gene	misc_RNA	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	13964	14052	+					tpke11	7151159	ECIAI39_misc_RNA_2	89		
misc_RNA		GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	13964	14052	+				Tpke11	tpke11	7151159	ECIAI39_misc_RNA_2	89		
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	14052	15182	+					dnaJ	7153014	ECIAI39_0014	1131		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	14052	15182	+	YP_002406062.1	WP_001118464.1		chaperone protein DnaJ	dnaJ	7153014	ECIAI39_0014	1131	376	
gene	misc_RNA	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	15487	15541	+					sokC	7151158	ECIAI39_misc_RNA_3	55		
misc_RNA		GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	15487	15541	+				SokC	sokC	7151158	ECIAI39_misc_RNA_3	55		
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	16050	16811	+						7152875	ECIAI39_0015	762		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	16050	16811	+	YP_002406063.1	WP_001274824.1		hypothetical protein		7152875	ECIAI39_0015	762	253	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	16795	18324	+						7149503	ECIAI39_0016	1530		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	16795	18324	+	YP_002406064.1	WP_000245046.1		putative Cerebroside-sulfatase		7149503	ECIAI39_0016	1530	509	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	18418	19698	+						7149504	ECIAI39_0017	1281		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	18418	19698	+	YP_002406065.1	WP_012602159.1		hypothetical protein		7149504	ECIAI39_0017	1281	426	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	19950	21116	+					nhaA	7149505	ECIAI39_0018	1167		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	19950	21116	+	YP_002406066.1	WP_000681356.1		pH-dependent sodium/proton antiporter	nhaA	7149505	ECIAI39_0018	1167	388	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	21176	22081	+					nhaR	7152220	ECIAI39_0019	906		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	21176	22081	+	YP_002406067.1	WP_000062888.1		transcriptional activator NhaR	nhaR	7152220	ECIAI39_0019	906	301	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	22119	23078	-						7152222	ECIAI39_0020	960		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	22119	23078	-	YP_002406068.1	WP_000871676.1		hypothetical protein		7152222	ECIAI39_0020	960	319	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	23091	25541	-						7149506	ECIAI39_0021	2451		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	23091	25541	-	YP_002406069.1	WP_000946602.1		putative fimbrial biogenesis outer membrane usher protein		7149506	ECIAI39_0021	2451	816	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	25554	26237	-						7149507	ECIAI39_0022	684		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	25554	26237	-	YP_002406070.1	WP_012602160.1		putative membrane-associated pilin chaperone		7149507	ECIAI39_0022	684	227	
gene	protein_coding	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	26287	26820	-						7149508	ECIAI39_0023	534		
CDS	with_protein	GCF_000026345.1	Primary Assembly	chromosome		NC_011750.1	26287	26820	-	YP_002406071.1	WP_000759929.1		putative fimbrial-like protein		7149508	ECIAI39_0023	534	177	
